Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Equinix TY4,Tokyo,Tokyo,6.0,70.23,Good,81.55,56.18,25.37,baseline_pue; load_growth_rate; energy_pct_opex,61.06,76.29,65.13,75.3,70.23,70.23,HIGH
Telehouse Koto 1,Tokyo,Tokyo,6.0,70.23,Good,81.55,56.18,25.37,baseline_pue; load_growth_rate; energy_pct_opex,61.06,76.29,65.13,75.3,70.23,70.23,HIGH
ESbogatan 11 (STO1),Stockholm,Kista,3.3,39.58,Moderate,50.79,25.46,25.33,baseline_pue; load_growth_rate; energy_pct_opex,29.4,45.65,34.33,44.73,39.58,39.58,HIGH
LAX12,Los Angeles,CA,7.1,80.4,Excellent,90.38,65.12,25.26,baseline_pue; load_growth_rate; energy_pct_opex,70.13,86.87,75.05,85.72,80.4,80.4,HIGH
Conapto Stockholm 2 South,Skarholmen,,4.0,43.73,Moderate,54.2,28.98,25.22,baseline_pue; load_growth_rate; energy_pct_opex,34.13,49.23,38.68,48.7,43.73,43.73,HIGH
Bahnhof Pionen,Stockholm,Stockholm,4.0,43.73,Moderate,54.2,28.98,25.22,baseline_pue; load_growth_rate; energy_pct_opex,34.13,49.23,38.68,48.7,43.73,43.73,HIGH
SP3,Osasco,São Paulo,4.0,52.25,Good,62.97,37.76,25.21,baseline_pue; load_growth_rate; energy_pct_opex,42.81,57.91,47.19,57.25,52.25,52.25,HIGH
SIN-1,Singapore,N/A,7.3,80.53,Excellent,90.49,65.3,25.19,baseline_pue; load_growth_rate; energy_pct_opex,70.3,86.98,75.19,85.85,80.53,80.53,HIGH
Equinix FR2,Frankfurt,Hesse,8.0,73.85,Good,85.14,60.11,25.03,baseline_pue; load_growth_rate; energy_pct_opex,64.92,79.87,68.78,78.9,73.85,73.85,HIGH
Telehouse Frankfurt,Frankfurt,Hesse,8.0,73.85,Good,85.14,60.11,25.03,baseline_pue; load_growth_rate; energy_pct_opex,64.92,79.87,68.78,78.9,73.85,73.85,HIGH
Maincubes FRA01,Offenbach,Hesse,8.0,73.85,Good,85.14,60.11,25.03,baseline_pue; load_growth_rate; energy_pct_opex,64.92,79.87,68.78,78.9,73.85,73.85,HIGH
Serangoon,Singapore,N/A,8.6,81.24,Excellent,91.08,66.26,24.82,baseline_pue; load_growth_rate; energy_pct_opex,71.22,87.59,75.94,86.53,81.24,81.24,HIGH
Equinix TY5,Tokyo,Tokyo,7.0,71.26,Good,82.39,57.57,24.82,baseline_pue; load_growth_rate; energy_pct_opex,62.38,77.17,66.21,76.28,71.26,71.26,HIGH
Wilhelm Fay Strasse 24 FRA30,Frankfurt,,9.0,74.42,Good,85.61,60.88,24.73,baseline_pue; load_growth_rate; energy_pct_opex,65.66,80.36,69.37,79.45,74.42,74.42,HIGH
SDC Manhattan,New York,NY,18.0,79.27,Excellent,90.54,65.96,24.58,baseline_pue; load_growth_rate; energy_pct_opex,70.67,85.26,74.23,84.3,79.27,79.27,HIGH
Weismullerstrasse 34 (FRA14),Frankfurt,,9.6,74.71,Good,85.84,61.27,24.57,baseline_pue; load_growth_rate; energy_pct_opex,66.02,80.61,69.67,79.72,74.71,74.71,HIGH
Equinix FR6,Frankfurt,Hesse,10.0,74.88,Good,85.98,61.5,24.48,baseline_pue; load_growth_rate; energy_pct_opex,66.24,80.76,69.85,79.88,74.88,74.88,HIGH
Equinix FR8,Frankfurt,Hesse,10.0,74.88,Good,85.98,61.5,24.48,baseline_pue; load_growth_rate; energy_pct_opex,66.24,80.76,69.85,79.88,74.88,74.88,HIGH
h.J.E Wenckebachweg 127 (AMS18),Amsterdam,,6.6,68.97,Good,79.9,55.44,24.46,baseline_pue; load_growth_rate; energy_pct_opex,60.24,74.73,63.96,73.96,68.97,68.97,HIGH
Equinix TY6,Tokyo,Tokyo,8.0,72.03,Good,83.02,58.61,24.41,baseline_pue; load_growth_rate; energy_pct_opex,63.38,77.83,67.01,77.02,72.03,72.03,HIGH
Telehouse Koto 2,Tokyo,Tokyo,8.0,72.03,Good,83.02,58.61,24.41,baseline_pue; load_growth_rate; energy_pct_opex,63.38,77.83,67.01,77.02,72.03,72.03,HIGH
Colt Inzai 1,Inzai,Chiba,8.0,72.03,Good,83.02,58.61,24.41,baseline_pue; load_growth_rate; energy_pct_opex,63.38,77.83,67.01,77.02,72.03,72.03,HIGH
T5 LA,Los Angeles,CA,12.0,82.38,Excellent,92.01,67.8,24.21,baseline_pue; load_growth_rate; energy_pct_opex,72.69,88.57,77.13,87.62,82.38,82.38,HIGH
STT 2,Singapore,N/A,12.0,82.38,Excellent,92.01,67.8,24.21,baseline_pue; load_growth_rate; energy_pct_opex,72.69,88.57,77.13,87.62,82.38,82.38,HIGH
Gotspace Norwich Campus,Norwich,CT,96.0,83.13,Excellent,94.07,69.89,24.18,baseline_pue; load_growth_rate; energy_pct_opex,74.56,89.23,78.08,88.18,83.13,83.13,HIGH
Weismullerstrasse 25-27 FRA9,Frankfurt,,1.2,48.98,Moderate,61.22,37.05,24.17,baseline_pue; load_growth_rate; energy_pct_opex,41.54,54.87,44.14,53.81,48.98,48.98,HIGH
Bangkok 2 Data Center,Chon Buri,,4.5,51.71,Good,62.01,37.86,24.15,baseline_pue; load_growth_rate; energy_pct_opex,42.82,57.05,46.75,56.61,51.71,51.71,HIGH
GDC CA1,Sacramento,CA,12.6,82.52,Excellent,92.12,67.98,24.14,baseline_pue; load_growth_rate; energy_pct_opex,72.87,88.69,77.27,87.75,82.52,82.52,HIGH
Equinix FR5,Frankfurt,Hesse,12.0,75.56,Excellent,86.55,62.42,24.13,baseline_pue; load_growth_rate; energy_pct_opex,67.13,81.35,70.57,80.54,75.56,75.56,HIGH
Maincubes FRA02,Schwalbach,Hesse,12.0,75.56,Excellent,86.55,62.42,24.13,baseline_pue; load_growth_rate; energy_pct_opex,67.13,81.35,70.57,80.54,75.56,75.56,HIGH
STT 1,Singapore,N/A,13.0,82.6,Excellent,92.19,68.1,24.09,baseline_pue; load_growth_rate; energy_pct_opex,72.97,88.76,77.36,87.83,82.6,82.6,HIGH
SIN11,Singapore,N/A,13.2,82.64,Excellent,92.23,68.15,24.08,baseline_pue; load_growth_rate; energy_pct_opex,73.03,88.8,77.4,87.87,82.64,82.64,HIGH
