Name,City,State,Operator,Size_MW,Latitude,Longitude,Status,Electricity_Price,Composite_Score,Classification,Savings_Per_MW,Payback_Years,OPEX_Impact_Pct,Annual_Energy_Cost,Estimated_Savings,EJ_Demographic_Index,EJ_Energy_Burden_Pct,CO2_Avoided_MT,Water_Saved_Gal,Grid_Relief_Pct,Cars_Equivalent,Homes_Equivalent,Missing_Inputs_Note
AWS Dublin 2,Dublin,Leinster,Amazon Web Services,30.0,53.3891,-6.2261,Active,0.3,90.09,Excellent,313651.8,0.159,3.2,94095540.0,9409554.0,,,9409.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Microsoft DUB07,Dublin,Leinster,Microsoft,30.0,53.3294,-6.4528,Active,0.3,90.09,Excellent,313651.8,0.159,3.2,94095540.0,9409554.0,,,9409.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Microsoft DUB08,Dublin,Leinster,Microsoft,30.0,53.3297,-6.4532,Active,0.3,90.09,Excellent,313651.8,0.159,3.2,94095540.0,9409554.0,,,9409.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Google Dublin 1,Dublin,Leinster,Google,30.0,53.3278,-6.4537,Active,0.3,90.09,Excellent,313651.8,0.159,3.2,94095540.0,9409554.0,,,9409.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Microsoft DUB05,Dublin,Leinster,Microsoft,27.0,53.3288,-6.4521,Active,0.3,89.98,Excellent,313651.8,0.177,3.2,84685986.0,8468598.6,,,8468.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Microsoft DUB06,Dublin,Leinster,Microsoft,27.0,53.3291,-6.4525,Active,0.3,89.98,Excellent,313651.8,0.177,3.2,84685986.0,8468598.6,,,8468.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
CyrusOne DUB3,Dublin,Leinster,CyrusOne,26.0,53.3291,-6.4561,Active,0.3,89.94,Excellent,313651.8,0.184,4.0,81549468.0,8154946.8,,,8154.9,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S7,Eastern Creek,NSW,NEXTDC,550.0,-33.8028,150.8513,Planned,0.28,89.9,Excellent,292741.68,0.009,4.0,1610079240.0,161007924.0,,,299014.7,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
NEXTDC S4,Horsley Park,NSW,NEXTDC,350.0,-33.841,150.8529,Construction,0.28,89.87,Excellent,292741.68,0.015,4.0,1024595880.0,102459588.0,,,190282.1,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
Digital Realty DUB15,Dublin,Leinster,Digital Realty,24.0,53.3281,-6.452,Active,0.3,89.85,Excellent,313651.8,0.199,4.0,75276432.0,7527643.2,,,7527.6,,,,,baseline_pue & load_growth_rate from industry averages; energy_pct_opex from operator-tier benchmark; capacity_factor from Uptime Institute / IDC avg
